stock,week,metric,value
8382.0,week_24,MAPE,93.15220846739992
8382.0,week_24,sMAPE,174.68802493645083
8382.0,week_24,QLIKE,14.0857225462334
8382.0,week_25,R2,-3.74045628945206
8382.0,week_25,MSE,2.736887784176088e-07
8382.0,week_25,RMSE,0.0005231527295327
8382.0,week_25,MedAE,0.0004117410078515
8382.0,week_25,MAPE,95.66694611253814
8382.0,week_25,sMAPE,183.5649329930176
8382.0,week_25,QLIKE,24.82261599240206
8382.0,week_26,R2,-3.8338422451139
8382.0,week_26,MSE,3.279667088794807e-07
8382.0,week_26,RMSE,0.0005726837773845
8382.0,week_26,MedAE,0.0004484384937013
8382.0,week_26,MAPE,96.97396680272642
8382.0,week_26,sMAPE,188.33403824574305
8382.0,week_26,QLIKE,36.75139144912089
8382.0,week_27,R2,-5.162137421146019
8382.0,week_27,MSE,4.860085791906886e-07
8382.0,week_27,RMSE,0.0006971431554499
8382.0,week_27,MedAE,0.0005827761550614
8382.0,week_27,MAPE,97.13022944665924
8382.0,week_27,sMAPE,188.9141614125148
8382.0,week_27,QLIKE,37.67092476069048
8382.0,week_28,R2,-3.8135003480277785
8382.0,week_28,MSE,2.70212252632503e-07
8382.0,week_28,RMSE,0.0005198194423379
8382.0,week_28,MedAE,0.0004114071419446
8382.0,week_28,MAPE,96.11583605699846
8382.0,week_28,sMAPE,185.1652763842892
8382.0,week_28,QLIKE,27.3989682170214
8382.0,week_29,R2,-4.900131119613608
8382.0,week_29,MSE,4.38499296125854e-07
8382.0,week_29,RMSE,0.0006621927937737
8382.0,week_29,MedAE,0.0005426921989009
8382.0,week_29,MAPE,96.48696735273384
8382.0,week_29,sMAPE,186.51241158919663
8382.0,week_29,QLIKE,29.717539035762183
8382.0,week_30,R2,-9.707868107055244e+31
8382.0,week_30,MSE,4.203664934275631e+24
8382.0,week_30,RMSE,2050284110623.606
8382.0,week_30,MedAE,0.0002939070207529
8382.0,week_30,MAPE,1.1861274610877912e+17
8382.0,week_30,sMAPE,186.2741063371556
8382.0,week_30,QLIKE,30.627337495062807
8382.0,week_31,R2,-3.827251796229017
8382.0,week_31,MSE,2.861544441556276e-07
8382.0,week_31,RMSE,0.0005349340558943
8382.0,week_31,MedAE,0.000416465378693
8382.0,week_31,MAPE,97.12400384126586
8382.0,week_31,sMAPE,188.90007577718697
8382.0,week_31,QLIKE,39.071887092900106
8382.0,week_32,R2,-2.932504669901816
8382.0,week_32,MSE,2.1338283042948363e-07
8382.0,week_32,RMSE,0.0004619337944224
8382.0,week_32,MedAE,0.0003263897896266
8382.0,week_32,MAPE,96.50593232716052
8382.0,week_32,sMAPE,186.5794638464621
8382.0,week_32,QLIKE,31.51088806257837
8382.0,week_33,R2,-3.1777617479056985
8382.0,week_33,MSE,2.004938880655717e-07
8382.0,week_33,RMSE,0.000447765438668
8382.0,week_33,MedAE,0.000341465472277
8382.0,week_33,MAPE,97.5609186475944
8382.0,week_33,sMAPE,190.5329709569108
8382.0,week_33,QLIKE,47.06369242549357
8382.0,week_34,R2,-4.531298337466335
8382.0,week_34,MSE,1.6023302421418944e-07
8382.0,week_34,RMSE,0.0004002911742896
8382.0,week_34,MedAE,0.0003267256432101
8382.0,week_34,MAPE,95.49090138533778
8382.0,week_34,sMAPE,182.88730169672104
8382.0,week_34,QLIKE,22.60187802556957
8382.0,week_35,R2,-4.908020296259791
8382.0,week_35,MSE,1.896409784374605e-07
8382.0,week_35,RMSE,0.0004354778736485
8382.0,week_35,MedAE,0.000367622899612
8382.0,week_35,MAPE,94.85377617863324
8382.0,week_35,sMAPE,180.613243326968
8382.0,week_35,QLIKE,19.520326357750896
8382.0,week_36,R2,-3.541007394702043
8382.0,week_36,MSE,1.9462748333538642e-07
8382.0,week_36,RMSE,0.0004411660496178
8382.0,week_36,MedAE,0.0003406843865855
8382.0,week_36,MAPE,91.93175227465404
8382.0,week_36,sMAPE,170.57264264222795
8382.0,week_36,QLIKE,11.73444885300926
8382.0,week_37,R2,-6.375526646971903
8382.0,week_37,MSE,3.778802157230745e-07
8382.0,week_37,RMSE,0.0006147196236684
8382.0,week_37,MedAE,0.0005455128962699
8382.0,week_37,MAPE,96.39566365483364
8382.0,week_37,sMAPE,186.20164850350048
8382.0,week_37,QLIKE,28.15994268396902
8382.0,week_38,R2,-5.197003984247486
8382.0,week_38,MSE,2.2817478483871122e-07
8382.0,week_38,RMSE,0.0004776764436715
8382.0,week_38,MedAE,0.0003983016139661
8382.0,week_38,MAPE,93.84412876709943
