,MAE,RMSE,MedAE,MAPE_pct,stock,week,model
108,0.00018019426423001396,0.0002507646913465238,0.0001516026599867948,42.10647572349778,22771,17,XGB
110,0.00013999236802719338,0.00018639775515310748,0.0001062986829936064,45.578545283792884,22771,19,XGB
112,0.00012471447132055095,0.00016465629189737135,0.00010498657975487714,53.51856789715879,22771,23,XGB
114,0.00015343066385789303,0.00021080363403239573,0.00011765847634521371,48.36924034770083,22771,28,XGB
116,0.00016916681219622951,0.0002221247745790437,0.00014190042570985374,59.06534687457936,22771,29,XGB
118,0.00017205679226538616,0.00022200771925940502,0.00013643327484647892,51.33055617993547,22771,33,XGB
120,0.00024979253470190676,0.00037317539521408206,0.000150695535090927,71.22533737844485,22771,34,XGB
122,0.0001471832137720724,0.00019811845239771345,0.0001161502611464704,46.58592182578325,22771,35,XGB
124,0.00024639036032841335,0.00032819923119638034,0.00018729399815246118,73.64327489023201,22771,37,XGB
126,0.0002768653956292419,0.00035861447803336224,0.00023068140720997833,28.338382128663774,22951,4,XGB
128,0.0003621796827439803,0.0005103191806480563,0.0002874989877418824,35.5104209523804,22951,8,XGB
130,0.00015416996993787614,0.00019627075046192182,0.00013579579419076184,25.69514603772803,22951,10,XGB
132,0.00026888195455312687,0.0003586395234803969,0.00022421010058618665,34.62966770239782,22951,11,XGB
134,0.00011507586395658355,0.0001564264391108264,8.764273404979752e-05,31.28927575401631,22951,15,XGB
136,0.00011593811229335826,0.000152965767791629,9.769137420734058e-05,34.56972329215839,22951,21,XGB
138,0.00011754101244676502,0.00015618323938612955,9.464374238443144e-05,35.00249416215895,22951,23,XGB
140,0.000255690046744107,0.00032988661504080463,0.0002044153807158228,48.195688489586885,22951,29,XGB
142,0.00016030150240577473,0.00020693664179466582,0.0001335342388451559,40.13673415646634,22951,30,XGB
144,0.00035157713570146634,0.0004560957721981966,0.000291587171556134,36.97836178394056,48219,4,XGB
146,0.000154328345720193,0.00021052621973190742,0.00011650515551034451,36.4788112086005,48219,6,XGB
148,0.00018209751136876945,0.00022368756049042577,0.00015008179599915983,32.51573088326115,48219,12,XGB
150,0.00016214089323408928,0.00021380253040116965,0.000133704194061306,46.042367233462656,48219,14,XGB
152,0.00024341461725752475,0.00030897049184099414,0.000197943851768542,60.36420750786132,48219,16,XGB
154,0.00017151879807261077,0.00022829287912674482,0.0001355781565600353,42.06714284692372,48219,20,XGB
156,0.00015081611999095135,0.00020756074331452506,0.00011904421837072263,32.94234283323382,48219,21,XGB
158,0.00017782785256589698,0.00024772138307552736,0.00013333716918025753,48.61690518952983,48219,25,XGB
160,0.00024696605936037425,0.00031306990395367425,0.00019182340644696835,61.61434389993008,48219,29,XGB
162,0.00013921589310832364,0.00017908313362818617,0.0001185535914947567,40.96650075855757,48219,38,XGB
164,6.487816602110371e-05,8.346004992051616e-05,5.443573268472613e-05,37.38050244402967,50200,5,XGB
166,3.878497842809717e-05,5.88237881530148e-05,2.9161556719894977e-05,26.65850040940823,50200,14,XGB
168,5.1637389602042373e-05,7.335369821457771e-05,3.670109860068445e-05,37.3490317925633,50200,21,XGB
170,3.56312626709397e-05,4.843220607521777e-05,2.742410166496846e-05,33.87989993043566,50200,26,XGB
172,0.00019885144785498535,0.00026032689468903,0.00015372351457985519,27.257569064468512,104919,4,XGB
174,7.348046639605498e-05,9.596517833649326e-05,5.53175437651829e-05,31.200404747899608,104919,5,XGB
176,0.00025174505853014877,0.0003325939070821276,0.0001964006086963601,24.442106880828405,104919,9,XGB
178,6.533418825007157e-05,8.674578836853817e-05,5.3046415821812685e-05,26.43398870733541,104919,14,XGB
180,7.265021084031866e-05,9.942749413020044e-05,5.563715757390073e-05,20.48137847152625,104919,18,XGB
182,6.79319194358078e-05,9.110775697626556e-05,5.113645734991934e-05,23.93105595883099,104919,19,XGB
184,0.00014440824061833578,0.00018841196428161903,0.00011556637916531927,42.60398878248524,104919,24,XGB
186,3.432253443635427e-05,5.034260078259351e-05,2.5810557260467482e-05,20.108828725566646,104919,26,XGB
188,7.523421149992119e-05,0.00010160061765932598,6.253655884053788e-05,22.706624554019264,104919,28,XGB
190,6.107030872242566e-05,8.932181933498006e-05,4.3581088647708865e-05,30.94899783397721,104919,29,XGB
192,4.7098783794574866e-05,6.273303591387532e-05,3.799305082993049e-05,31.011271807501394,104919,32,XGB
194,4.809314304962261e-05,6.865670313580209e-05,3.4220773509396774e-05,26.865910377606838,104919,35,XGB
196,9.055518184331898e-05,0.00011891290933205311,7.275888971230197e-05,41.01567541024424,104919,38,XGB
