stock,week,metric,value
104919.0,week_21,MSE,2.35823617569951e-08
104919.0,week_21,RMSE,0.00015356549663578437
104919.0,week_21,MedAE,0.0001227765381537864
104919.0,week_21,MAPE,93.96901829720137
104919.0,week_21,sMAPE,177.39239720643997
104919.0,week_21,QLIKE,14.955278405157324
104919.0,week_22,R2,-2.9644495132105013
104919.0,week_22,MSE,2.380624454245402e-08
104919.0,week_22,RMSE,0.00015429272355640763
104919.0,week_22,MedAE,0.00011362800165896933
104919.0,week_22,MAPE,94.47272861523447
104919.0,week_22,sMAPE,179.29142895930138
104919.0,week_22,QLIKE,18.81404917231356
104919.0,week_23,R2,-4.901142135428993
104919.0,week_23,MSE,7.95667283860245e-08
104919.0,week_23,RMSE,0.0002820757493759868
104919.0,week_23,MedAE,0.00022708603660348932
104919.0,week_23,MAPE,96.2291626345304
104919.0,week_23,sMAPE,185.58273524286312
104919.0,week_23,QLIKE,29.353127004848456
104919.0,week_24,R2,-3.4032841890649674
104919.0,week_24,MSE,2.826720991594661e-08
104919.0,week_24,RMSE,0.00016812855175712008
104919.0,week_24,MedAE,0.00013044511193824543
104919.0,week_24,MAPE,95.94440948615971
104919.0,week_24,sMAPE,184.48774095319962
104919.0,week_24,QLIKE,24.266621208188774
104919.0,week_25,R2,-5.837539051123582
104919.0,week_25,MSE,1.6074098047208187e-08
104919.0,week_25,RMSE,0.00012678366632657453
104919.0,week_25,MedAE,0.00010562249251455013
104919.0,week_25,MAPE,95.77342902405526
104919.0,week_25,sMAPE,183.8454254665046
104919.0,week_25,QLIKE,22.430052193821634
104919.0,week_26,R2,-3.4801600108213995
104919.0,week_26,MSE,2.4720401040491352e-08
104919.0,week_26,RMSE,0.00015722722741462865
104919.0,week_26,MedAE,0.0001150651114286117
104919.0,week_26,MAPE,95.44249044742368
104919.0,week_26,sMAPE,182.6705288701991
104919.0,week_26,QLIKE,22.19530408551961
104919.0,week_27,R2,-9.507972675203796
104919.0,week_27,MSE,1.288689574141166e-07
104919.0,week_27,RMSE,0.0003589832272044428
104919.0,week_27,MedAE,0.00031646432169243725
104919.0,week_27,MAPE,97.1718314618679
104919.0,week_27,sMAPE,189.02277477259787
104919.0,week_27,QLIKE,33.92149241078203
104919.0,week_28,R2,-6.831563662827559
104919.0,week_28,MSE,2.442928757049869e-08
104919.0,week_28,RMSE,0.00015629871263225009
104919.0,week_28,MedAE,0.00013260835414617578
104919.0,week_28,MAPE,96.77929299522235
104919.0,week_28,sMAPE,187.5628729431317
104919.0,week_28,QLIKE,30.74358312466205
104919.0,week_29,R2,-8.16978497915805
104919.0,week_29,MSE,4.2577755181208733e-08
104919.0,week_29,RMSE,0.00020634377911923763
104919.0,week_29,MedAE,0.0001842758404612397
104919.0,week_29,MAPE,96.17867516025481
104919.0,week_29,sMAPE,185.33648906688867
104919.0,week_29,QLIKE,25.11587632489907
104919.0,week_3,R2,-4.815255006684859
104919.0,week_3,MSE,5.900149070983576e-08
104919.0,week_3,RMSE,0.00024290222458807527
104919.0,week_3,MedAE,0.00019569830288365838
104919.0,week_3,MAPE,95.71494648901734
104919.0,week_3,sMAPE,183.73395185055585
104919.0,week_3,QLIKE,25.51060448305561
104919.0,week_30,R2,-4.791667947320003
104919.0,week_30,MSE,1.8656884052669245e-08
104919.0,week_30,RMSE,0.00013659020481963282
104919.0,week_30,MedAE,0.00010398045081438742
104919.0,week_30,MAPE,95.84508039004834
104919.0,week_30,sMAPE,184.12693868339173
104919.0,week_30,QLIKE,23.96527135536104
104919.0,week_31,R2,-3.319154379577741
104919.0,week_31,MSE,4.197164054451621e-08
104919.0,week_31,RMSE,0.0002048698136488541
104919.0,week_31,MedAE,0.00014292120457609094
104919.0,week_31,MAPE,97.43691433039417
104919.0,week_31,sMAPE,190.05502706493732
